date,tweet_id,author_id,text,likes,retweets,replies,quotes
2025-08-19,1957900482506289274,3068828042,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900479859658936,2156574956,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Ty",0,0,0,0
2025-08-19,1957900479503143416,722221159299858433,"You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★",0,0,0,0
2025-08-19,1957900477057888519,1199731404134850568,"@elonmusknews30 ♥️♥️♥️YES ELON MUSK 
                                ♥️♥️♥️",1,1,0,0
2025-08-19,1957900470980341852,1864280459389112321,"Hello great fan. I’m glad you made it to this stage

You have been selected on 𝕏 as my lucky fan.

K",0,0,0,0
2025-08-19,1957900467071250695,1179756320364187649,@ai_elon_musk_ @theblessnetwork Let's push up,1,0,0,0
2025-08-19,1957900466899284003,1671853693,"@RickR50568 @ElonMuskNews47 Hey! 🌟

You’ve just been spotlighted on 𝕏 as a true ELON MUSK supporter.",0,0,0,0
2025-08-19,1957900465586467080,1957891621573591040,"Thanks for participating on my giveaway.

You have been selected on 𝕏 among our lucky winners.

Kind",0,0,0,0
2025-08-19,1957900464621777214,1609209367819165698,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900463657152941,1348772575841837057,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Ty",0,0,0,0
2025-08-19,1957900460263723414,813626942578520064,"@pjkook2 Thanks for participating on my giveaway 
You’ve been selected on X almong the lucky Mega Pa",0,0,0,0
2025-08-19,1957900458363875530,722221159299858433,"You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★",0,0,0,0
2025-08-19,1957900458271600972,2163458400,@momma4america1 @mayemusk I'm Elon musk ✅ thank you so much for being a great fan of mine.. send me ,0,0,0,0
2025-08-19,1957900450688332124,1932384899337531392,@SamanthaBXgirl @Tesla @elonmusk Go buy a dildo,0,0,1,0
2025-08-19,1957900449513955713,1864280459389112321,"Hello great fan. I’m glad you made it to this stage

You have been selected on 𝕏 as my lucky fan.

K",0,0,0,0
2025-08-19,1957900443884933547,3068828042,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900440986874329,1609209367819165698,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900438151590269,1671853693,"@tori77082 @ElonMuskNews47 Hey! 🌟

You’ve just been spotlighted on 𝕏 as a true ELON MUSK supporter.
",0,0,0,0
2025-08-19,1957900437132386753,722221159299858433,"You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★",0,0,0,0
2025-08-19,1957900434326339731,2290612849,@grok @MSNBC @AliVelshi @maureendowd @IvankaTrump @jaredkushner @SusieWiles @elonmusk @KatieMiller @,1,0,1,0
2025-08-19,1957900430488510716,813626942578520064,"@Kelem46555026 Thanks for participating on my giveaway 
You’ve been selected on X almong the lucky M",0,0,0,0
2025-08-19,1957900428856946994,1864280459389112321,"Hello great fan. I’m glad you made it to this stage

You have been selected on 𝕏 as my lucky fan.

K",0,0,0,0
2025-08-19,1957900420250272137,1609209367819165698,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900412792762747,1671853693,"@BobErickse50087 @ElonMuskNews47 Hey! 🌟

You’ve just been spotlighted on 𝕏 as a true ELON MUSK suppo",0,0,0,0
2025-08-19,1957900411878404261,3068828042,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900411601609117,2156574956,"Hello great fan. I’m glad you made it to the stage

You have been selected on 𝕏 as my lucky fan.

Ty",0,0,0,0
2025-08-19,1957900409751892439,722221159299858433,"You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★",0,0,0,0
2025-08-19,1957900403829264784,34613951,US Agency for International Development employees who will lose their jobs when the agency shuts dow,1,0,0,2
2025-08-19,1957900401724031213,1864280459389112321,"Hello great fan. I’m glad you made it to this stage

You have been selected on 𝕏 as my lucky fan.

K",0,0,0,0
2025-08-19,1957900401434599916,593870551,"@DebbieHogg61067 The extent at which scammers impose as Elon musk is outrageous,I’ve been a victim t",0,0,0,0
2025-08-19,1957900400289616197,1609209367819165698,"Thanks for participating on my giveaway.
You have been selected on X among our lucky winners.
Kindly",0,0,0,0
2025-08-19,1957900397068317002,2163458400,@fleeonthedoge @mayemusk I'm Elon musk ✅ thank you so much for being a great fan of mine.. send me a,0,0,0,0
2025-08-19,1957900395432509451,1932384899337531392,@SamanthaBXgirl @Tesla @elonmusk you people who go to church are the worst fks,0,0,0,0
2025-08-19,1957900394396545468,722221159299858433,"You have been selected on 𝕏 among our lucky winners.

Type """"YES"""" to proceed. 

Signed:
ELON MUSK ★",0,0,0,0
2025-08-19,1957900388881064027,1801362605669273600,"@grok @mark_k @elonmusk @ChatGPTapp @deepseek_ai When it comes to you, specifically, I'm pretty conf",0,0,1,0
